1869,8
1718,4
593,1
4026,5
3724,700
4024,153
4025,17
4022,50
4020,10
4449,196
1615,38
4029,1369
592,808
2030,143
4607,113
344,203
345,103
346,17
347,4
340,133
341,82
3999,5
3998,11
3997,3
3996,201
3995,39
348,18
349,74
3991,7
3990,6
964,423
966,721
4685,65
961,35
4732,124
4733,1487
4730,106
4731,343
4736,1
4737,49
4734,390
2319,737
2316,7
2314,1
2325,82
2312,82
2313,75
2310,1412
2311,732
4831,2
2184,3920
299,164
296,241
297,302
295,89
292,4
290,233
3773,30
3771,23
3770,129
3776,213
3775,1287
3774,954
4523,199
3686,115
270,448
4654,578
272,106
273,1449
274,663
275,746
4653,3
277,1453
279,861
4836,21
4658,7
962,3
642,7
2269,485
1132,5
2262,418
2263,369
2267,1476
2440,358
963,26
2446,1662
2447,437
2444,1622
2445,42
109,753
102,204
103,217
100,1
101,20
106,497
107,357
104,58
105,1629
4813,2
2047,32
2044,533
2045,219
2043,50
2041,26
2048,355
2049,180
4978,7
3155,39
1213,14
2737,2
2038,459
2835,11
3519,4
2834,179
3512,12
3511,22
3516,48
3515,84
3514,28
2689,18
2684,211
2685,9
2686,29
2687,48
2680,5
2681,4
2682,52
1436,12
342,114
1613,50
1437,30
3441,197
343,13
99,11
98,17
4937,3
91,46
3395,47
93,1154
92,159
94,1834
1623,2
1990,10
1621,507
3204,1824
3203,1371
1994,329
1625,214
1996,324
1999,238
1998,881
1628,2440
3208,9
2860,68
2861,524
2862,66
3696,23
559,473
558,245
2866,38
2867,5
555,660
2869,199
557,36
556,18
553,1243
1502,2
1199,723
1198,450
3348,6
3349,10
3342,16
3343,81
1193,12
3341,20
3346,25
3347,91
3344,93
3345,1
1754,5
4259,393
4258,117
1175,3
1174,10
1173,42
1171,3
3439,26
4251,34
4253,275
4252,1
4255,1196
4254,13
4256,157
1006,19
644,43
1285,1025
1287,1177
1286,250
1281,170
1280,574
1282,621
1003,43
879,72
1289,43
1579,7
1578,20
688,10
877,374
1572,196
687,361
686,367
681,330
680,1029
683,610
682,478
1227,130
875,6
1226,219
621,101
4521,11
1223,40
1222,56
4389,244
4388,267
1221,53
2036,42
4382,2
4381,27
4380,17
4387,28
4386,560
1370,8
1373,627
1372,1235
1375,89
1374,163
1377,214
1376,82
1379,35
1362,89
1219,28
409,4
4849,96
3835,242
1343,197
3830,117
2524,36
4595,5
455,3
4031,168
4033,17
4032,65
4035,55
4034,146
4037,3
4036,8
4039,219
4038,121
4186,260
4599,6
2318,8
4735,61
379,91
378,503
4842,18
371,97
370,174
373,12
372,87
375,648
374,7
377,27
376,7
1019,18
1244,1
392,60
391,542
390,245
395,250
394,12
399,7
398,5
2309,1753
2308,2279
4729,316
4728,104
4725,31
2300,888
2303,233
4726,75
2305,498
4720,466
2307,1738
2306,1725
4676,9
1246,2
3748,41
3746,377
3747,5
3745,185
3742,9
3743,176
3740,120
3741,1213
4620,75
4621,65
4623,42
4624,974
4625,92
243,276
242,193
4629,40
249,46
248,53
2275,5
2274,50
2270,8
2273,512
2279,15
2278,14
4981,47
2459,104
2458,133
2454,5
2456,12
2451,23
2453,42
2452,5
4980,6
179,38
178,181
173,146
172,263
171,127
170,82
3699,38
2053,364
2052,508
4538,1204
2054,279
2057,198
2056,460
3690,34
3691,171
4536,1401
4825,268
3694,8
3695,168
4532,78
4821,8
2156,88
3596,200
653,9
3526,115
3527,1821
3524,153
3525,7
3523,43
4916,4
3529,20
2094,2
271,212
3594,4
1977,211
4656,14
2699,47
2698,1653
2696,34
2695,13
2694,14
4928,20
3226,10
3221,2
4983,72
4652,28
3220,10
3672,105
1607,155
4557,51
3670,56
3671,26
3236,948
3237,171
3234,72
1619,15
1964,535
1965,102
3238,1867
1967,41
1961,579
1962,493
1963,317
3674,69
3675,22
2872,2
2871,771
2870,3
2877,244
2876,99
2875,1587
2874,161
4986,79
2879,10
3357,18
3356,3
3351,91
