1718,23
4446,11
1866,2
5745,60
4418,13
965,9
4026,35
4027,800
4024,121
4025,1719
453,264
4449,343
3798,6
4028,5
4029,84
3383,9
5988,40
5989,846
5982,54
4642,2
2993,5
5684,8
5986,47
966,15
5984,967
340,52
341,2
342,41
343,80
3997,57
3996,487
3995,210
3994,61
3993,64
3992,60
3991,26
3990,50
4686,219
4687,10
1343,6
967,2
4932,205
3573,29
4933,12
2919,2
3381,154
4935,267
4732,154
4731,11
4736,1104
4936,84
2318,510
2319,1974
2316,1556
2317,67
4738,1577
4681,367
2312,99
2313,52
2311,51
5854,3
4831,16
5856,33
5857,6
5850,4
298,19
5853,477
3237,6
294,17
292,277
3681,41
290,7
4023,18
3773,59
3771,38
3680,201
5749,5
3776,129
3775,16
3774,26
4835,41
3778,18
3686,6
270,39
4654,659
272,1106
4656,415
274,682
275,34
276,12
277,42
279,1
1992,204
4658,143
2146,464
4782,8
642,142
2269,48
2262,26
2263,18
2260,182
2261,61
2266,49
2264,111
5789,1
2446,533
2447,13326
2444,185
2445,894
2448,176
2449,20
2189,312
1136,2
108,450
109,128
2102,16
103,14
100,88
106,15
107,966
105,6
2046,95
4812,229
2044,15
4810,107
4817,763
2043,1281
2040,406
2041,153
6051,140
4819,1826
4818,728
2048,64
2049,2563
1373,1
2105,28
2104,145
820,1
5981,18
4031,45
4279,101
4843,16
2639,37
4456,3
2835,7
4979,95
1151,1
3519,22
3518,45
5298,40
3513,114
3512,94
3511,1
5299,117
1210,67
3516,42
3515,12
3514,2171
5297,14
2684,170
2685,10
2686,9
2687,243
2680,547
2681,6
2682,431
2683,410
3441,4
1437,40
5119,68
1211,45
3998,39
1434,394
99,109
5482,39
1435,32
4937,1
91,15
1432,11
5291,38
94,484
96,341
5182,69
1990,51
1621,139
5181,87
5186,304
5187,604
1625,384
5185,39
1216,32
1998,93
1629,212
5189,591
3145,18
3208,808
4974,407
3010,75
4526,14
2130,724
2862,3
3696,131
2864,135
2865,42
2866,157
2867,5
2868,135
2869,37
551,44
550,879
553,172
552,6
5054,36
5409,30
5055,206
5408,57
5458,213
1198,34
3348,973
3349,3069
3342,1347
1190,1343
1193,63
1192,18
1195,329
3347,67
3344,127
5457,144
5052,76
1758,17
1756,2483
1755,755
1754,639
1753,691
1752,97
1751,202
1750,595
4259,63
4258,883
1175,581
1174,243
1173,270
1172,55
1171,2963
1170,5064
4251,201
4250,53
4252,68
4255,1335
4254,63
4256,68
5533,980
5532,337
5531,271
2360,25
5536,43
5535,32
5534,506
5539,168
5538,16
1005,148
644,245
4433,1
1285,137
1287,341
1004,141
1281,27
1280,21
1282,676
1003,65
879,307
404,12
3430,5
1579,478
1578,2504
689,27
1001,21
1872,1
877,8
685,559
1572,23
1571,95
686,85
1577,26
2026,11
683,36
682,260
4260,954
875,2
1349,152
3434,5
873,34
3345,21
870,8
871,72
626,12
4592,34
4389,1
5629,28
2740,46
4383,49
4382,14
4381,29
4380,262
4590,30
4385,19
4384,12
1371,557
1370,199
405,38
1372,33
402,4
1377,2
1341,35
1379,76
4848,1238
6096,14
452,7051
409,2583
408,10227
3834,38
3835,99
3837,64
3830,33
3831,645
3832,323
3833,61
454,45
2030,3589
3839,501
1345,11
5995,180
9,81
5996,41
4035,12
5990,94
5993,1257
5992,1687
4038,94
457,124
5999,9
5998,52
977,3
4734,248
4735,15
3206,17
379,98
378,1199
3620,13
371,4
373,5
372,26
2314,36
377,1157
376,149
2343,5
1244,29
5107,41
5664,506
393,2
391,5
390,18
397,1233
396,7502
395,480
394,1200
398,2415
3790,25
5796,1
895,378
2309,1795
2308,104
4344,13
4729,8
4728,290
5855,4
2301,237
2300,380
4727,450
2302,1116
2305,136
4720,1
4723,79
2306,37
5847,20
5846,2
5845,194
5844,174
1917,4
5842,23
5841,101
5840,21
3592,154
5849,53
5848,88
5852,15
3749,1
3747,555
3744,1
299,20
3742,214
3743,189
3740,2
3741,117
245,128
4621,193
247,288
246,143
4624,351
4625,264
242,49
4628,1
3591,1
249,23
248,501
2275,222
2274,1
2276,45
2271,472
2270,123
2273,62
2272,498
5858,4
2279,508
2278,1028
293,41
4407,3
2154,290
291,25
2705,13
3201,77
125,14
2455,12
2454,1175
2456,2370
2451,5
2453,74
4673,234
3770,7
176,213
175,646
174,51
173,266
172,1076
170,988
2051,67
2050,225
2053,3
2052,2
2055,3
2054,103
2057,33
4829,387
2059,186
4827,26
3692,52
3693,94
4822,133
3695,1490
4820,179
4533,176
3596,79
3089,13
3088,75
1879,10
1110,147
1367,39
2769,6
1505,13
3526,10
3527,15
3501,56
3522,38
3523,23
3520,1
3521,6
3087,699
3528,6
3529,1
3086,41
271,46
1978,2
4657,140
3080,39
3225,137
273,13
658,9
1976,1253
2696,91
2695,26
659,19
1226,18
1603,2
2690,129
1602,12
4653,20
1605,11
4559,1
3220,34
2704,703
1971,66
4557,175
5832,30
1606,727
1362,269
3232,334
3233,28
5490,11
3236,243
1969,2117
3234,57
3235,29
1616,2200
5194,24
1614,215
1615,267
5191,1912
1613,111
1610,506
5192,371
2063,93
1363,21
3450,3
714,14
2873,41
2872,310
2871,88
2870,29
2877,586
2876,287
2875,100
2874,44
2153,9
2879,1378
2878,1237
4534,112
3355,13
3354,106
3357,3
3351,1392
3350,1687
3353,2
3352,2136
3358,3
5448,252
3745,24
5443,239
5442,8
5441,88
5440,36
5447,8
5446,51
5444,138
1768,261
1762,5
1763,75
1761,9
1766,29
1767,238
1764,125
1765,214
1140,80
3325,2
1147,6
2964,8
1148,2
2692,1
2966,7
505,1
5502,18
5500,15
5501,1
1547,1035
1544,41
691,171
696,96
1543,60
1540,58
1541,359
698,60
699,1
1548,641
1549,1227
546,25
3204,15
3784,90
548,495
760,114
3885,13
1783,32
400,103
2969,21
2064,28
2968,501
1627,2
6000,126
2649,9
4531,159
3321,6
5612,9
5495,1
5611,158
5474,55
5614,59
1946,2
414,1
415,465
416,1
417,63
1388,761
1389,71
412,2
5716,47
1384,68
5472,7
1386,57
1387,23
1380,930
1381,1694
1382,268
1383,667
5003,15
3825,80
4532,17
3326,5
3581,40
5001,59
3829,157
3828,39
5000,40
1177,7
1254,6
3584,164
4282,576
4280,414
4281,114
4286,103
4284,29
4285,4
5461,4
4288,52
5004,3
2403,27
2099,2
3044,21
1447,488
368,34
2762,12
366,337
367,3
364,4
365,1
362,19
363,28
3214,2
5274,14
2760,7
5460,135
5275,540
2098,195
1777,1
380,317
382,91
383,13
4985,11
385,9
387,75
388,462
389,305
2764,36
1770,7
4758,59
4759,85
5272,6
1369,14
4750,67
4751,31
4752,18
4753,99
4754,2
4755,11
4757,3
5872,346
5873,210
5871,432
5876,132
5877,1727
5875,24
5878,30
5879,53
2045,8
3759,35
5462,19
5376,1
4664,3
3751,79
1779,48
3753,310
3755,43
3754,16
3756,8
2190,1
2191,24
258,1666
2193,21
2194,85
4636,577
4635,5
4634,1079
2198,603
253,531
250,240
4638,167
256,29
257,23
254,157
255,143
2200,631
2201,56
2202,2030
2203,373
2204,60
2205,125
2206,5
2209,14
1301,245
5169,182
2429,2605
2047,17
2420,57
2423,29
2424,9
4811,297
2426,242
901,17
168,65
169,757
165,270
166,6
167,243
160,38
161,959
162,41
163,4
4839,183
4838,7
3688,28
4529,1
4528,19
3683,130
4830,89
4833,464
4832,14
3687,49
4522,90
4521,250
4836,145
4422,3
3212,176
2518,26
2519,43
1980,33
2514,9
2517,75
4420,369
2513,49
2734,2
2735,60
1676,53
2730,9
2731,631
2732,294
2733,1567
5296,173
1847,541
5294,4
5295,33
5292,1
