4891,1737,1745,0.000255547
4122,761,1260,0.0021104
3580,330,1703,0.00231792
4810,1585,1813,0.00257544
2844,1901,1638,0.00276614
3499,243,430,0.00242332
63,1695,22,0.0002189
2464,1963,1289,0.00632671
380,132,2053,0.00075179
4680,1392,1394,0.00378697
4391,1060,1946,0.00159607
5018,2056,2010,0.00154717
4597,1297,1753,0.000151766
231,770,79,0.000372813
4708,1418,1419,0.000483017
85,31,1211,0.00179945
4160,806,1133,0.00368541
4553,1220,1250,0.000149924
660,586,241,0.000116656
236,98,81,0.00132404
4150,801,798,0.000628812
3217,45,70,0.00454946
215,1373,75,0.000162871
418,265,151,0.00342005
2554,1612,1348,0.00013455
3613,362,965,0.000300591
2321,1236,1160,0.00139691
505,255,181,0.000606828
4400,1069,1529,0.00189335
4920,1779,1859,0.00202939
117,43,55,0.00284255
1617,706,899,0.00103945
390,138,2031,0.00401986
4600,1302,1473,0.00155671
4314,963,1161,0.00138853
675,1978,248,0.000352915
4979,2060,1893,0.00152444
2828,1619,1620,0.000125131
994,393,392,0.00126701
1274,531,1515,0.0012133
3144,3,1935,0.00124898
2138,1324,1019,0.0030035
3800,504,522,0.000633658
3792,497,1381,0.00182816
3309,107,1010,0.00145679
3801,504,526,0.000769273
2504,1924,1316,0.00226077
2975,1798,1794,0.00317422
4221,860,1777,0.00015237
636,232,831,0.00254582
3818,514,815,0.000845546
4821,1641,1851,0.000560245
1437,688,604,0.0018024
2483,1621,1305,0.0031317
4209,849,1851,0.0039434
4134,775,844,0.00141779
45,1438,13,0.000351305
246,1853,84,0.00028193
2757,1920,1540,0.000286378
827,317,315,0.0002471
2775,1557,1556,0.0001611
443,1266,159,0.000483203
3559,309,1801,0.000864303
4077,717,1587,0.000316159
3615,364,440,0.00184911
2259,1340,1110,0.00128456
2944,1775,1769,0.00561821
201,175,70,0.00121067
2869,1668,1667,0.00127027
3293,94,1707,9.30009e-05
1687,1992,742,0.000722057
4185,1127,829,0.00129914
1909,1670,874,0.00253641
3165,11,16,0.00287791
623,228,1670,0.00128433
3084,1975,1969,0.0001667
663,1484,242,0.00285183
2403,1250,1220,0.000149924
1394,1780,583,0.00265221
2746,1536,1534,0.000972984
3304,105,155,0.00299642
3234,57,1260,0.00043573
563,204,205,0.000494831
4042,690,691,0.00307699
4284,934,1313,0.00184601
4630,1334,1579,0.00112286
1532,1424,657,0.00312562
4031,675,1074,0.00191884
141,109,50,0.00237471
3544,296,1388,0.000308304
4030,675,1077,0.000679954
128,46,165,0.00108344
3991,647,654,0.000323901
1834,1192,832,0.000590151
2399,1223,1216,0.00136603
29,966,7,0.00310027
212,1368,74,0.000328505
4894,1740,1747,0.000511053
2710,1698,1494,0.0013842
3014,1895,1848,0.00219617
2358,1199,1185,0.0008118
2384,1359,1205,0.00115126
3866,545,936,0.0019578
1379,768,577,0.00253974
3431,196,673,0.00022679
186,65,123,0.00118882
4120,760,761,0.0020331
2633,1465,1415,0.00197064
202,265,71,0.00165837
1959,916,901,0.000201581
1376,1403,574,0.00220019
3977,636,2040,0.00120866
1325,816,552,0.000519565
2078,1492,977,0.0006957
449,169,162,0.00346123
1147,467,1723,0.000161245
4790,1524,1525,0.00424516
481,175,173,0.00142852
993,1959,392,0.00201719
3472,227,1229,0.00012704
661,446,242,8.88203e-05
1100,994,440,0.00268391
2670,1458,1456,0.0010506
665,568,243,0.00011661
119,1401,44,0.000833788
3171,14,1263,0.00104702
34,1969,8,0.00283511
2496,1937,1312,0.00348649
3208,215,36,8.77447e-05
2301,1146,1773,0.00121926
3332,121,135,0.00243865
3369,155,1285,0.00015471
4783,1517,1520,0.00503024
3822,516,1843,0.00105745
3820,516,1842,0.000985671
2919,1739,1734,0.000286351
886,342,519,0.000341461
4086,726,1665,0.0034499
2357,1622,1184,0.0001801
1039,508,414,0.00165614
3543,296,1049,0.000299704
4759,1493,1495,0.00257226
2693,1473,1621,0.00164749
2391,1337,1208,0.00188813
3185,22,1072,0.000543118
4907,1769,1899,0.00178046
4747,1964,1474,0.00117658
3295,95,1066,0.00548076
1033,409,1173,0.00209151
2285,2024,1133,0.000788203
4381,1050,1441,0.00212523
374,707,130,0.000682502
2173,1050,1445,0.000670606
2287,1136,1135,0.0011994
3875,547,624,0.00179537
108,39,294,0.00387268
4581,1277,1278,0.00371554
2518,1637,1324,0.000330251
2822,1970,1607,0.00188002
2192,1813,1068,0.0037395
2310,1203,1201,0.000523892
91,412,34,0.00238932
3275,82,1710,0.000476731
4128,768,1253,0.0010316
876,339,908,0.00129558
2509,1997,1318,0.00194431
2359,1783,1186,0.000877923
2419,1257,1244,0.00219394
3752,455,492,0.00301273
2667,1453,1796,0.00126857
3611,356,357,0.00010716
3093,1987,2044,0.0020077
4044,691,693,0.000877475
1592,691,690,0.00307699
1368,1914,570,0.00190789
3745,447,474,0.00378121
1451,651,650,0.000322136
816,322,308,0.00146487
4998,1972,1939,0.00376556
4960,1849,1886,0.0024866
1857,958,843,0.00258882
4671,1527,1383,0.00369052
3011,1882,1846,0.00357771
3007,1840,1858,0.00310906
3691,417,827,0.00275869
460,711,165,0.000698039
1061,447,421,0.00218559
3807,508,827,0.000907204
932,884,364,0.00213701
4438,1103,1983,0.000288003
536,195,743,0.00158054
4502,1729,1172,0.000157105
4835,1605,1615,0.000820295
809,879,306,0.0031833
2725,1697,1509,0.0011267
1499,2049,640,0.000740701
2338,1172,1729,0.000157105
2245,1797,1104,0.00204131
2372,1277,1195,0.000758301
1879,1521,855,0.00829129
4795,1545,1570,0.00015298
669,744,246,0.000456543
1567,1077,675,0.000679954
240,448,83,0.000163817
3023,1867,1863,0.00650117
4590,1290,1292,0.000659724
1546,664,1483,0.000108953
2140,1881,1020,0.000682108
1167,481,1123,0.00208133
3421,190,1472,0.0015913
929,680,363,0.000624074
2091,988,987,0.0014184
295,1024,102,0.0028959
4946,1831,1866,0.00363131
3936,592,1442,0.00442772
4947,1831,1863,0.00401931
938,414,366,0.0002544
4515,1181,1183,0.000880069
1963,2028,905,0.00132356
3243,61,1528,0.000656293
2901,1704,1760,0.00479221
226,164,78,0.00293508
370,1857,128,0.00366828
3240,61,1526,0.000276796
3242,61,1527,0.000303314
2367,1278,1193,0.000663104
3907,576,1444,0.000294413
