5831,4923,1
1439,1625,2
4335,5977,1
1965,3596,5
5448,5937,5
2426,1204,2
3131,3144,1
1782,2374,1
2201,5191,1
3204,5709,1
3566,5356,1
1182,1824,2
3134,4400,1
1678,4381,1
5163,2129,6
374,853,1
5370,1928,1
3025,5258,1
3335,3491,1
5370,1925,2
78,78,4
2808,3518,1
4133,4868,2
1281,2175,1
6115,3877,4
3414,3414,115
9,5057,3
956,4414,2
1013,1660,2
1508,5938,3
2878,754,1
671,3861,1
1313,2962,1
3782,5998,3
516,4173,3
516,4174,3
1973,389,1
4883,2362,1
4280,2455,1
5609,6103,1
5112,5112,1
4357,882,3
1401,3543,1
1624,2609,1
2628,4251,1
2414,3658,1
1401,3544,2
3329,1046,1
5655,3162,1
4818,154,6
293,2330,1
293,2331,1
1037,452,2
4329,5518,6
4329,5519,9
2786,73,3
3673,1082,3
2786,75,1
1383,4264,1
1383,4266,29
1383,4267,1
1383,4263,3
4970,1782,1
6034,1540,1
6073,3807,3
664,3989,2
627,3920,1
3802,3407,1
4334,4306,1
337,3654,1
5201,5201,18
4614,4614,4
2480,5462,4
2454,5036,2
175,176,5
175,174,1
175,175,26
5970,1062,1
4802,412,1
920,5149,1
2436,4646,1
559,1043,1
2183,2479,2
2387,3292,6
1097,1072,2
3973,3655,1
2630,610,2
3565,132,22
3496,288,1
6031,1540,2
3496,286,1
3791,1508,1
3496,285,1
5693,3143,1
4247,2278,1
4115,4260,2
2347,4956,1
508,3640,2
5056,4732,1
5931,2096,5
746,673,4
4391,3800,2
870,882,1
1995,1431,4
1781,5215,1
2155,3906,1
6086,3840,2
5173,1241,1
638,2690,1
4989,5526,1
5069,3119,1
2520,2521,2
2520,2520,390
1534,599,1
3254,4282,2
954,4306,1
3223,2630,3
5360,2969,1
2214,3280,1
440,1321,1
5328,5328,66
3966,3661,2
5115,4455,1
1090,4139,1
508,4165,15
3293,5373,4
508,4167,1
3695,319,9
508,4168,1
4378,4380,3
5192,5189,6
3673,3906,6
5192,5187,3
6114,2928,1
4258,467,1
4101,4262,2
4737,4736,2
409,508,1
275,277,2
3665,2596,7
230,1169,1
628,1885,1
1498,3178,1
3335,4383,1
1571,3100,1
5139,3858,1
586,5548,2
154,148,2
1171,3550,1
2001,2034,1
1524,1524,4
4229,4,3
5360,5360,39
3318,874,1
309,49,1
1878,2257,1
3318,872,5
913,2122,1
6067,1527,1
5630,2786,1
3070,2180,35
28,30,6
493,5418,1
3026,3033,5
3026,3030,1
3254,4895,1
3017,5594,63
2647,3948,1
5928,4393,1
4005,312,1
355,167,2
5570,2299,1
5938,2520,1
685,685,98
1430,4911,1
3272,2297,1
2490,151,5
2490,150,4
2226,845,1
3256,2430,1
1755,4684,1
2880,4758,1
4393,6059,1
4941,3647,2
5173,5897,4
2729,5978,1
466,2943,2
5173,5893,3
3693,457,1
992,4386,2
2203,2200,19
443,20,2
2203,2202,7
2203,2203,27
2203,2204,1
2932,270,1
6011,3732,10
2872,1838,1
3070,2729,23
4967,4302,1
2312,2312,2
1993,5082,1
4046,4564,29
4046,4565,10
4046,4566,1
5849,3418,2
1784,2276,1
5630,5593,1
5967,3612,1
335,5877,1
5848,450,1
879,4360,1
4229,2988,1
2566,2250,1
16,3334,14
2545,4055,1
3427,1399,1
4607,2707,3
4093,5268,4
2786,1567,1
2475,5325,1
5094,3335,1
2475,5328,31
3792,5938,2
4106,4738,1
3385,5937,1
2257,2258,2
3707,4126,1
6076,3786,2
6076,3787,1
2566,1735,8
2566,1734,2
3789,2008,3
2257,2257,42
697,1158,1
2364,5444,1
5041,5139,1
5332,4987,1
2606,3504,2
5332,4981,5
5332,4983,4
5332,4982,5
2988,5230,1
79,3601,1
3081,2255,1
79,3604,1
4404,4415,2
1031,5300,2
3731,6011,1
1407,2094,1
2872,5523,4
1925,1082,1
2872,5526,3
2872,5527,40
4729,1088,1
493,3107,10
4998,4977,4
3753,4651,3
3334,3329,12
4998,4970,1
4587,4606,4
939,946,2
4998,4979,2
4638,4638,69
631,1856,2
631,1857,2
5864,5864,14
631,1850,2
631,1858,11
389,1970,2
5446,975,2
3398,5379,1
3608,3609,5
389,1976,30
5774,1589,1
4412,944,1
4412,946,1
973,982,2
5099,5100,16
5099,5101,3
5925,948,1
1614,2591,1
723,1939,2
1618,3488,1
2104,5149,2
3676,3442,3
5566,3054,1
1900,1899,5
1973,5982,1
2811,4286,1
2107,5831,1
4258,1504,1
3664,2146,2
4453,5553,1
1307,1386,1
3480,2763,1
4270,394,5
2637,2008,1
1858,2111,1
1858,2112,1
5652,5741,2
636,2704,6
2929,5553,1
2929,5554,29
2271,3877,3
2271,3876,4
1618,5887,2
2582,4150,1
4402,9,1
3119,2550,1
858,5035,1
2401,2401,5
2195,3849,1
2757,2331,1
2195,3847,1
2195,3846,2
2438,1294,1
3910,3910,78
4155,4156,1
4155,4154,1
4155,4155,3
253,249,3
253,248,7
5283,289,1
380,3193,1
550,3531,12
3952,2907,1
4697,3248,1
3672,4703,1
4833,2816,2
748,2322,1
5869,3457,4
4697,3246,1
3278,467,1
1087,4728,1
3368,1568,1
754,1189,11
1712,4899,2
2748,3996,3
5246,4405,1
4610,3867,1
3288,5776,1
4125,170,10
633,4973,1
3351,3474,1
1947,1751,1
1947,1750,1
1928,30,2
1000,5178,1
2732,2278,8
2732,2279,21
267,2116,2
3223,3223,1
5880,3479,1
6013,3735,1
1932,270,1
5940,5431,1
2447,1057,2
1159,4046,2
3846,3216,1
4063,5135,1
3568,1753,1
3704,235,1
4120,3577,1
200,3996,19
2817,1754,1
5835,2660,1
4281,3880,14
2682,5430,4
2019,1070,2
2773,2773,25
1570,3906,1
4106,4156,1
5069,1989,1
1851,632,2
1094,1929,2
1851,631,2
5237,1206,1
3408,5841,3
3408,5840,3
1140,3566,1
1535,426,1
1535,428,4
4143,4143,8
926,91,1
1636,4865,6
4981,1857,3
4981,1856,6
1636,4860,2
1184,2123,1
4981,1858,8
3799,929,9
678,2338,10
845,5034,1
84,3081,1
2397,5001,1
3225,4471,1
2030,1490,8
4966,615,5
2730,5108,5
5715,1680,14
2115,266,2
1003,2174,8
1113,2528,4
4910,3972,1
3631,3677,9
1728,2710,2
109,1048,3
1422,118,1
3097,3060,2
896,884,3
3309,5144,2
2770,3322,7
4971,4969,1
4971,4968,4
5652,830,1
3431,1423,1
2612,148,1
2872,1630,1
1096,1094,2
3651,2130,13
26,551,1
5321,4718,3
2485,3993,1
143,3319,10
2297,942,1
2108,2159,4
5030,1818,1
3009,4457,1
2873,1956,5
3009,4455,1
2319,4229,2
2710,2731,8
2556,3275,1
4139,5431,2
2556,3279,3
2556,3278,1
3335,2038,2
3335,2039,3
2319,4227,13
5925,795,1
342,2374,1
2889,3045,1
3764,1450,1
617,4237,12
2710,1186,8
617,4238,2
3488,5961,4
3286,5030,1
4127,463,3
1243,3215,6
4127,466,3
6095,6095,3
4127,464,1
4127,465,6
4420,4420,58
2251,342,2
2124,265,5
2447,3349,17
2124,267,1
3258,442,1
2096,8,4
1995,4911,1
80,81,40
4317,2573,3
2937,24,1
1753,2968,6
4317,2574,5
3615,5131,1
3606,3381,6
134,207,1
3615,5132,1
204,4152,1
5591,4651,1
134,209,10
5077,2470,1
2259,3211,1
4500,2018,1
5652,2960,5
4282,3880,6
1412,2324,1
3531,3531,7
794,795,2
2380,2380,1
180,3991,1
2551,6004,1
1774,1813,8
5841,3409,3
1774,1814,4
2275,2374,1
2299,4576,14
5920,3532,23
5920,3533,5
71,71,4
224,224,1
4059,330,2
4059,331,2
105,3341,2
859,4859,1
1300,3665,1
3788,407,20
1706,1705,1
3336,1038,2
1908,2707,1
1431,2566,1
5926,1660,1
5926,1661,2
624,4231,2
1408,1407,2
4991,2592,1
1408,1408,7
1727,1726,1
5253,15,2
2298,2135,1
2895,1436,1
3584,3664,1
5700,5099,1
1824,4101,2
298,298,6
4801,5477,1
46,299,1
4313,241,1
5889,3143,1
2561,3306,23
2342,2096,1
2276,717,1
644,2309,1
644,2308,1
2931,2526,1
5581,355,1
4238,4237,1
6067,6048,1
5059,3031,1
2171,3547,1
4119,454,1
6067,6041,1
3802,254,1
4348,837,1
4082,4973,14
743,1481,1
4082,4970,2
4082,4974,6
1079,4704,1
2062,4444,1
686,3269,1
4415,4404,1
1039,4738,10
747,2914,2
686,3260,9
1696,1696,2
686,3267,7
1696,1694,1
2549,2548,5
2549,2549,11
1530,1122,4
5164,258,2
627,4835,1
1618,4846,1
1428,1210,1
2549,2547,19
173,175,1
1621,2148,2
3187,3187,38
1786,3445,5
5032,202,2
1499,2496,2
5837,2231,1
5164,3649,1
1734,5830,2
4982,1858,6
1383,3874,1
1383,3875,4
1782,5705,1
4597,4592,2
3107,567,2
3284,2479,2
1079,2640,3
5473,5477,2
5346,5923,1
5844,5880,1
4475,4475,9
4475,4476,1
4401,2555,1
5989,2785,37
5989,2784,8
2159,5115,1
5989,2786,2
5989,5176,2
1490,1240,1
3920,2568,1
1840,2043,3
1426,4728,1
1206,2864,1
1532,1721,5
1206,2866,2
