3722,2400,2
3888,3828,1
4441,3126,2
2988,914,147
881,2296,1
2988,913,7
2988,912,1
4991,3993,1
2142,1333,1
4991,3995,3
75,3267,8
2155,2363,1
2155,2362,2
1625,2403,3
1999,4276,70
4555,778,191
3147,3043,2
4792,229,9
3147,3045,2
3147,3044,1
1999,4270,3
3737,3881,7
349,3667,1
4555,770,3
75,4333,1
3691,1368,9
75,4334,2
2274,2598,20
78,78,524
4051,877,223
1669,4733,13
4223,1798,163
3034,3592,1
3034,3593,12
4336,2405,1
4223,1793,2
3414,3414,694
2594,2190,13
4051,878,71
1517,1743,1
4868,4441,15
2919,4236,1
192,802,9
1437,236,1
4506,847,1
2739,4784,1
3352,3687,1
3884,3983,1
1249,2707,14
4555,3687,2
4340,2155,1
1085,934,59
182,432,746
1085,932,2
4765,3162,1
1628,3317,17
531,4726,13
4489,2319,51
4876,2857,1
531,4725,7
3604,4098,4
996,4971,2
306,228,6
4033,4855,2
3147,3593,2
78,2405,3
1402,1578,1
78,2408,4
3024,3024,615
3882,3883,1
4487,1142,2
1235,1236,36
3598,3599,16
3598,3598,8
4733,2868,65
4733,2869,21
4526,3019,1
4310,2191,24
2706,2714,1
2640,3788,1
2401,2402,1
4308,1598,33
2401,2400,29
2401,2401,363
2401,2406,9
879,3054,2
2401,2404,14
1485,3756,1
1392,1392,26
2384,1682,1
3610,909,1
3927,3927,19
4091,2777,23
4209,1459,1
1336,3883,15
290,140,1
4545,2427,1
4091,2770,1
4505,1091,42
3739,138,2
4510,4581,1
3804,3818,2
4991,3998,2
3333,3023,3
1510,3182,1
5016,4926,2
3750,301,4
3326,1314,1
4948,2957,1
4614,4613,184
1581,591,1
4309,1919,1
1852,969,34
4614,4615,22
4614,4614,2003
1948,1516,3
2581,3630,1
2616,3085,3
3129,5043,66
1137,4040,28
2509,4617,2
300,76,1
78,77,3
279,1338,26
4091,2488,7
4255,4807,3
1999,4277,32
52,3430,11
847,4506,1
4091,2486,73
1684,900,1
78,75,66
1684,902,13
1684,903,1
608,1218,1
1285,4169,1
1335,4654,3
537,1689,80
4991,1518,2
248,251,5
2735,2730,3
2166,2166,13
422,3319,4
537,893,84
2509,4619,1
3891,1351,1
2435,2860,7
2404,2406,2
2790,4468,1
4238,4239,5
248,255,3
3283,255,14
7,1643,1
1738,3471,1
3283,251,34
2386,2586,13
3884,1583,4
3333,2634,1
3054,2505,1
1867,4210,2
3334,196,1
714,195,2
2176,1648,1
3428,3430,210
301,646,2
402,901,1
2494,2488,24
2686,4635,1
75,4337,3
